genre_ids,id,title,original_language,overview,popularity,release_date,vote_average,vote_count
"[18, 35]",42269,Nós Que Nos Amávamos Tanto,it,"Três italianos, Gianni, Nicola e Antonio se tornam muito amigos durante o ano de 1944 enquanto combatem os nazistas. Cheio de ilusões, eles se estabelecem depois da guerra. Os três amigos idealistas precisam lidar com a inevitável desilusões da vida no pós-guerra da Itália.",5.2718,1974-12-21,8.284,664
"[35, 18, 10749]",3082,Tempos Modernos,en,"Sujeito ao ritmo de produção infernal da fábrica, o Vagabundo tem um súbito colapso nervoso. Do hospital, ele vai para a prisão e fica desempregado, sempre cercado pela industrialização moderna. Certo dia, ele se depara com uma menina órfã.",10.8815,1936-02-05,8.282,4179
"[35, 18, 10402]",654299,Como caído del cielo,es,,4.4297,2019-12-24,8.279,391
"[28, 18, 80]",1439930,O Justiceiro: Uma Última Morte,en,"Enquanto Frank Castle busca um significado além da vingança, uma força inesperada o arrasta de volta para a luta.",43.1238,2026-05-12,8.276,2208
"[18, 10751, 14]",1585,A Felicidade Não Se Compra,en,"Em Bedford Falls, no Natal, George Bailey, que sempre ajudou a todos, pensa em se suicidar saltando de uma ponte, em razão das maquinações de Henry Potter, o homem mais rico da região. Mas tantas pessoas oram por ele que Clarence, um anjo que espera há 220 anos para ganhar asas, é mandado à Terra para tentar fazer George mudar de ideia, mostrando sua importância para todos através de flashbacks.",12.1934,1946-12-20,8.275,5051
"[18, 35]",77338,Intocáveis,fr,"Quando um ex-presidiário é contratado para cuidar de um aristocrata francês, seu novo trabalho se torna uma aventura imprevisível. Acelerar uma Maserati em Paris, seduzir mulheres, e fazer parapente sobre os Alpes é apenas o começo, pois ele vira o mundo da classe alta de Paris de cabeça para baixo.",24.4996,2011-11-02,8.272,18791
[18],599,Crepúsculo dos Deuses,en,"Uma estrela veterana do cinema mudo se recusa a aceitar que seu reinado acabou. Então ela contrata um jovem roteirista para ajudá-la a reconquistar o sucesso. O escritor acredita que pode manipular a atriz, mas percebe que está redondamente enganado.",10.0716,1950-08-10,8.272,3018
"[18, 36]",1317149,Eu Juro,en,"John Davidson: diagnosticado com Tourette aos 15 anos, descrito como insano por seus colegas, ele lutou contra uma condição que poucos haviam testemunhado. O filme retrata os desafios de crescer em uma família operária, o bullying na escola e a violência física que sofreu devido aos seus tiques. Quando adulto, ele fez campanha pela síndrome de Tourette, culminando com o recebimento de um MBE (Ordem do Império Britânico) da Rainha em 2019.",16.1036,2025-09-22,8.271,553
"[28, 12, 53]",1356039,Contra-Ataque,es,"Uma missão de resgate faz surgir um novo inimigo, levando o capitão Guerrero e seus soldados de elite a enfrentar uma emboscada de um grupo criminoso.",12.6917,2025-02-27,8.27,856
"[18, 37]",335,Era uma Vez no Oeste,it,"Enquanto os construtores ferroviários marcham imparavelmente através do deserto de Arizona a caminho do mar, Jill chega à pequena cidade de Flagstone com a intenção de começar uma nova vida.",14.6606,1968-12-21,8.264,5044
"[16, 878, 18, 14, 28]",18491,Neon Genesis Evangelion: O Fim do Evangelho,ja,"Um final alternativo para a série de anime ""Neon Genesis Evangelion"". Em The End of Evangelion, A SEELE ordena um ataque à NERV para destruir os EVAs antes que Gendo consiga provocar o Terceiro Impacto e a união das almas humanas.",12.455,1997-07-19,8.263,1952
"[10749, 16, 14]",92321,Hotarubi no Mori e,ja,"A história se foca em uma pequena garota chamada Hotaru. Ela se perde em uma floresta popularmente conhecida por ser habitada por espíritos. Lá, Hotaru se depara com um jovem usando uma máscara de raposa. Ele se diz um espírito amaldiçoado que desaparecerá se um humano o tocar.",0.0079,2011-09-17,8.262,1244
"[18, 10752]",28,Apocalypse Now,en,"Durante a guerra do Vietnã, o Capitão Willard recebe como missão ir ao Camboja para assassinar um Boina Verde renegado, o Coronel Kurtz. Este vive no meio de uma tribo local e é venerado como um deus. Mas, chegado ao seu destino, o Capitão Willard descobre que a sua missão é bem diferente do que imaginara.",20.953,1979-05-19,8.261,9365
"[28, 878]",603,Matrix,en,"O jovem programador Thomas Anderson é atormentado por estranhos pesadelos em que está sempre conectado por cabos a um imenso sistema de computadores do futuro. À medida que o sonho se repete, ele começa a desconfiar da realidade. Thomas conhece os misteriosos Morpheus e Trinity e descobre que é vítima de um sistema inteligente e artificial chamado Matrix, que manipula a mente das pessoas e cria a ilusão de um mundo real enquanto usa os cérebros e corpos dos indivíduos para produzir energia.",47.5327,1999-03-31,8.258,28693
"[16, 10751, 14, 18, 35]",1139087,Era uma vez um Estúdio,en,Um reencontro inesquecível de personagens adorados dos 100 anos da Disney Animation.,6.5823,2023-09-24,8.256,450
"[27, 10402, 53]",92060,Michael Jackson: Thriller,en,"Uma noite no cinema se transforma em um pesadelo quando Michael e seu par são atacados por uma horda de zumbis sedentos de sangue - apenas um ""Thriller"" pode salvá-los agora.",4.6566,1983-11-21,8.254,798
"[16, 18, 10749]",652837,"Josee, o Tigre e o Peixe",ja,"Depois de fazer amizade com um estudante de biologia marinha, uma artista sarcástica que vive com paraplegia começa a vivenciar o mundo além de sua casa.",5.1121,2020-12-25,8.252,627
[18],637920,Milagre na Cela 7,tr,"Separado de sua filha, um homem com deficiência intelectual precisa provar sua inocência ao ser preso pela morte da filha de um comandante.",5.5603,2019-10-10,8.251,4596
"[16, 10751, 18]",8587,O Rei Leão,en,"Mufasa, o Rei Leão, e a rainha Sarabi apresentam ao reino o herdeiro do trono, Simba. O recém-nascido recebe a bênção do sábio babuíno Rafiki, mas ao crescer é envolvido nas artimanhas de seu tio Scar, o invejoso e maquiavélico irmão de Mufasa, que planeja livrar-se do sobrinho e herdar o trono.",33.07,1994-06-15,8.251,20122
"[10752, 18]",975,Glória Feita de Sangue,en,"Depois de se recusar a atacar uma posição inimiga, um general acusa os soldados da covardia e seu comandante deve defendê-los.",7.9365,1957-10-25,8.251,3368
"[10402, 18]",630566,Clouds,en,"O jovem músico Zach Sobiech descobre que tem apenas alguns meses de vida devido a um câncer terminal. Com pouco tempo, corre atrás de seu sonho e grava um álbum, sem saber que logo será um fenômeno da Internet. Assim, a música dá um novo significado à vida de Zach e o ajuda a encontrar a maneira perfeita de se despedir... com uma música que será ouvida no mundo todo.",3.417,2020-10-09,8.25,1066
"[35, 18, 10749]",901,Luzes da Cidade,en,"Um vagabundo amável se apaixona por uma mulher cega que vende flores nas ruas e o confunde com um milionário. Ao descobrir que ela e a avó serão despejadas, o vagabundo faz uma série de tentativas para lhes proporcionar o dinheiro de que precisam, mas todas terminam em um fracasso humilhante.",5.1845,1931-02-06,8.248,2535
"[18, 53, 80]",29259,A Um Passo da Liberdade,fr,"Quatro detentos estão planejando fugir da prisão quando outro prisioneiro, Claude Gaspard, é transferido para a cela deles. Eles arriscam e resolvem compartilhar seu plano com o recém-chegado. Ao longo de três dias, os cinco homens começam a jornada, mas a fuga está longe de estar garantida.",4.4728,1960-03-18,8.246,598
